Date	,	.com	,	.tk	,	.net	,	.de	,	.uk	,	.org	,	.cn	,	.ru	,	.info	,	.top
7/1/2012	,	471230	,	60	,	52014	,	0	,	46146	,	41039	,	21604	,	21376	,	16625	,	0
6/1/2012	,	478019	,	64	,	52471	,	0	,	46569	,	41626	,	39770	,	20983	,	17844	,	0
5/1/2012	,	533399	,	71	,	57068	,	0	,	49118	,	44392	,	43095	,	22869	,	18506	,	0
4/1/2012	,	518564	,	133	,	56454	,	0	,	46232	,	43709	,	50716	,	24904	,	15332	,	0
3/1/2012	,	568588	,	403	,	64938	,	0	,	50822	,	49097	,	17204	,	27082	,	18760	,	0
2/1/2012	,	552385	,	89	,	64003	,	0	,	51729	,	48424	,	14292	,	26500	,	19220	,	0
1/1/2012	,	559727	,	86	,	67041	,	0	,	52300	,	76714	,	8436	,	24524	,	47073	,	0
12/1/2011	,	493552	,	77	,	61187	,	0	,	34595	,	48172	,	16669	,	21208	,	21435	,	0
11/1/2011	,	506625	,	87	,	62542	,	0	,	57876	,	47625	,	17082	,	22680	,	19265	,	0
10/1/2011	,	488899	,	71	,	61704	,	0	,	57348	,	48581	,	13594	,	20811	,	18416	,	0
9/1/2011	,	432153	,	72	,	51576	,	0	,	52476	,	39933	,	13793	,	19973	,	25164	,	0
8/1/2011	,	424489	,	56	,	51196	,	0	,	45227	,	38540	,	12166	,	19472	,	15073	,	0
7/1/2011	,	413911	,	103	,	49257	,	0	,	44365	,	36760	,	11854	,	18028	,	14570	,	0
6/1/2011	,	431049	,	74	,	52372	,	0	,	44743	,	38612	,	11338	,	18903	,	16403	,	0
5/1/2011	,	445781	,	99	,	53729	,	0	,	43786	,	40632	,	12792	,	21180	,	15116	,	0
4/1/2011	,	442242	,	62	,	53721	,	0	,	38301	,	40598	,	11277	,	22210	,	14716	,	0
3/1/2011	,	500974	,	93	,	62112	,	0	,	51539	,	46547	,	12276	,	24030	,	18113	,	0
2/1/2011	,	449328	,	96	,	55395	,	0	,	48740	,	42785	,	7979	,	20592	,	16890	,	0
1/1/2011	,	479658	,	94	,	59633	,	0	,	48546	,	44949	,	9783	,	18351	,	17184	,	0
12/1/2010	,	418887	,	93	,	54843	,	0	,	33660	,	71017	,	11787	,	20784	,	46405	,	0
11/1/2010	,	439585	,	78	,	55309	,	0	,	48479	,	43545	,	10477	,	20396	,	17506	,	0
10/1/2010	,	427557	,	74	,	56223	,	0	,	44809	,	42225	,	8456	,	18773	,	16121	,	0
9/1/2010	,	375380	,	76	,	48778	,	0	,	36660	,	36192	,	8390	,	19126	,	14136	,	0
8/1/2010	,	368227	,	94	,	46686	,	0	,	34646	,	35062	,	8865	,	18268	,	13691	,	0
7/1/2010	,	359203	,	60	,	46182	,	0	,	36470	,	34655	,	8922	,	18025	,	13822	,	0
6/1/2010	,	372334	,	40	,	48079	,	0	,	35098	,	34920	,	9428	,	19106	,	13785	,	0
5/1/2010	,	385485	,	100	,	49417	,	0	,	34819	,	36269	,	10306	,	18295	,	19060	,	0
4/1/2010	,	404348	,	76	,	52032	,	0	,	35597	,	38807	,	8638	,	21418	,	15561	,	0
3/1/2010	,	448955	,	100	,	58013	,	0	,	42949	,	42063	,	6964	,	23254	,	16374	,	0
2/1/2010	,	391808	,	114	,	51394	,	0	,	39172	,	36615	,	3603	,	19469	,	13916	,	0
1/1/2010	,	419421	,	98	,	54311	,	0	,	38993	,	37986	,	3835	,	18541	,	15128	,	0

